,0
0,0.9594761043571822
1,0.016799027201639487
2,0.01458483896930699
3,0.005070521798697669
4,0.0034101037429642676
5,0.0005408089028299871
6,0.00011855958767903079
7,1.0246398512825046e-08
8,4.471636778162869e-09
9,3.1868470256645936e-09
10,1.6356117565397683e-09
11,1.3405707457403785e-09
12,1.1664925292758469e-09
13,1.0492017858981244e-09
14,9.54694281783569e-10
15,9.509120289598445e-10
16,8.749560836176074e-10
17,8.039584382055831e-10
18,7.762981331131854e-10
19,7.404032831882227e-10
20,7.077661610678379e-10
21,6.379386276619683e-10
22,5.666382280666596e-10
23,5.070771280789231e-10
24,4.974418138025469e-10
25,4.720694246930445e-10
26,4.280135875881759e-10
27,3.421201372205916e-10
28,3.31208922302177e-10
29,2.990485035073539e-10
30,2.616039717796125e-10
31,2.605554451445556e-10
32,2.3953705892439835e-10
33,2.1947271432570714e-10
34,1.9554899149456607e-10
35,1.815465852244745e-10
36,1.711349500094735e-10
37,1.68665669782449e-10
38,1.490763361294505e-10
39,1.3712741287848323e-10
40,1.1073863502483153e-10
41,1.0016742042434372e-10
42,9.201180349123314e-11
43,8.909108605895927e-11
44,4.4871188357063035e-11
45,3.124493503684715e-11
46,6.604915697001069e-33
47,6.604915697001069e-33
48,1.389964552849954e-35
